Tract FIPS Code,tract_id,county,hra,coc
6055200704,55200704,Napa,0,0
6055200705,55200705,Napa,0,0
6055200706,55200706,Napa,0,0
6055200707,55200707,Napa,0,0
6055200802,55200802,Napa,0,0
6055200803,55200803,Napa,0,0
6055200804,55200804,Napa,0,1
6055200900,55200900,Napa,0,1
6055201003,55201003,Napa,0,0
6055201004,55201004,Napa,0,0
6055201005,55201005,Napa,0,0
6055201006,55201006,Napa,0,0
6055201007,55201007,Napa,0,0
6055201101,55201101,Napa,0,0
6055201102,55201102,Napa,0,0
6055201200,55201200,Napa,0,0
6055201300,55201300,Napa,0,0
6055201401,55201401,Napa,1,0
6055201402,55201402,Napa,1,0
6055201403,55201403,Napa,0,0
6055201500,55201500,Napa,1,0
6055201601,55201601,Napa,0,0
6055201602,55201602,Napa,1,0
6055201700,55201700,Napa,1,0
6055201800,55201800,Napa,0,0
6055201900,55201900,Napa,0,0
6055202000,55202000,Napa,0,1
6075010100,75010100,San Francisco,0,1
6075010200,75010200,San Francisco,1,0
6075010300,75010300,San Francisco,1,0
6075010400,75010400,San Francisco,1,0
6075010500,75010500,San Francisco,1,0
6075010600,75010600,San Francisco,0,1
6075010700,75010700,San Francisco,0,1
6075010800,75010800,San Francisco,1,0
6075010900,75010900,San Francisco,1,0
6075011000,75011000,San Francisco,1,0
6075011100,75011100,San Francisco,1,0
6075011200,75011200,San Francisco,1,0
6075011300,75011300,San Francisco,0,1
6075011700,75011700,San Francisco,0,1
6075011800,75011800,San Francisco,0,1
6075011901,75011901,San Francisco,0,0
6075011902,75011902,San Francisco,0,0
6075012000,75012000,San Francisco,0,1
6075012100,75012100,San Francisco,0,0
6075012201,75012201,San Francisco,0,1
6075012202,75012202,San Francisco,0,1
6075012301,75012301,San Francisco,0,1
6075012302,75012302,San Francisco,0,1
6075012401,75012401,San Francisco,0,1
6075012402,75012402,San Francisco,0,1
6075012501,75012501,San Francisco,0,1
6075012502,75012502,San Francisco,0,1
6075012601,75012601,San Francisco,1,0
6075012602,75012602,San Francisco,1,0
6075012700,75012700,San Francisco,1,0
6075012800,75012800,San Francisco,1,0
6075012901,75012901,San Francisco,1,0
6075012902,75012902,San Francisco,1,0
6075013000,75013000,San Francisco,1,0
6075013101,75013101,San Francisco,1,0
6075013102,75013102,San Francisco,1,0
6075013200,75013200,San Francisco,1,0
6075013300,75013300,San Francisco,1,0
6075013400,75013400,San Francisco,1,0
6075013500,75013500,San Francisco,1,0
6075015100,75015100,San Francisco,0,0
6075015200,75015200,San Francisco,0,0
6075015300,75015300,San Francisco,1,0
6075015400,75015400,San Francisco,1,0
6075015500,75015500,San Francisco,1,1
6075015600,75015600,San Francisco,1,0
6075015700,75015700,San Francisco,1,0
6075015801,75015801,San Francisco,1,1
6075015802,75015802,San Francisco,1,0
6075015900,75015900,San Francisco,0,1
6075016000,75016000,San Francisco,0,1
6075016100,75016100,San Francisco,0,1
6075016200,75016200,San Francisco,0,0
6075016300,75016300,San Francisco,1,0
6075016400,75016400,San Francisco,1,0
6075016500,75016500,San Francisco,1,0
6075016600,75016600,San Francisco,1,0
6075016700,75016700,San Francisco,1,0
6075016801,75016801,San Francisco,1,0
6075016802,75016802,San Francisco,0,0
6075016900,75016900,San Francisco,1,0
6075017000,75017000,San Francisco,1,0
6075017101,75017101,San Francisco,1,0
6075017102,75017102,San Francisco,1,0
6075017601,75017601,San Francisco,0,1
6075017700,75017700,San Francisco,0,0
6075017801,75017801,San Francisco,0,1
6075017802,75017802,San Francisco,0,1
6075017902,75017902,San Francisco,0,1
6075018000,75018000,San Francisco,0,0
6075020100,75020100,San Francisco,0,1
6075020200,75020200,San Francisco,0,0
6075020300,75020300,San Francisco,1,0
6075020401,75020401,San Francisco,1,0
6075020402,75020402,San Francisco,1,0
6075020500,75020500,San Francisco,1,0
6075020600,75020600,San Francisco,1,0
6075020700,75020700,San Francisco,1,0
6075020800,75020800,San Francisco,0,0
6075020900,75020900,San Francisco,0,1
6075021000,75021000,San Francisco,1,0
6075021100,75021100,San Francisco,1,0
